2737      4           230 Kbyte/sec  ==>  1.798687 Mbit/sec
2737      5           231 Kbyte/sec  ==>  1.810000 Mbit/sec
2737      6           231 Kbyte/sec  ==>  1.810000 Mbit/sec
2737      7           231 Kbyte/sec  ==>  1.810000 Mbit/sec
2737      8           231 Kbyte/sec  ==>  1.810000 Mbit/sec
2737      9           231 Kbyte/sec  ==>  1.810000 Mbit/sec
2737      10           231 Kbyte/sec  ==>  1.812312 Mbit/sec
2737      11           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      12           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      13           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      14           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      15           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      16           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      17           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      18           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      19           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      20           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      21           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      22           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      23           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      24           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      25           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      26           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      27           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      28           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      29           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      30           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      31           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      32           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      33           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      34           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      35           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      36           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      37           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      38           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      39           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      40           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      41           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      42           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      43           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      44           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      45           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      46           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      47           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      48           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      49           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      50           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      51           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      52           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      53           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      54           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      55           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      56           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      57           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      58           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      59           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      60           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      61           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      62           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      63           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      64           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      65           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      66           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      67           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      68           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      69           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      70           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      71           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      72           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      73           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      74           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      75           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      76           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      77           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      78           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      79           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      80           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      81           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      82           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      83           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      84           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      85           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      86           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      87           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      88           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      89           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      90           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      91           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      92           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      93           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      94           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      95           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      96           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      97           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      98           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      99           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      100           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      101           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      102           231 Kbyte/sec  ==>  1.805000 Mbit/sec
2737      103           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      104           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      105           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      106           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      107           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      108           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      109           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      110           231 Kbyte/sec  ==>  1.812000 Mbit/sec
2737      111           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      112           231 Kbyte/sec  ==>  1.809500 Mbit/sec
2737      113           231 Kbyte/sec  ==>  1.807500 Mbit/sec
2737      114           231 Kbyte/sec  ==>  1.809500 Mbit/sec
