#Release 10.1 - par K.31 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Sun May 22 23:46:58 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       apro_animacion_top_map.ncd
#OUTPUT FILE:      apro_animacion_top_pad.csv
#PART TYPE:        xc3s400
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,,
P2,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,,
P3,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,,
P4,,DIFFM,IO_L16P_7/VREF_7,UNUSED,,7,,,,,,,,,,
P5,,DIFFS,IO_L16N_7,UNUSED,,7,,,,,,,,,,
P6,,,VCCO_7,,,7,,,,,any******,,,,,
P7,,DIFFM,IO_L19P_7,UNUSED,,7,,,,,,,,,,
P8,,,GND,,,,,,,,,,,,,
P9,,DIFFS,IO_L19N_7/VREF_7,UNUSED,,7,,,,,,,,,,
P10,,DIFFM,IO_L20P_7,UNUSED,,7,,,,,,,,,,
P11,,DIFFS,IO_L20N_7,UNUSED,,7,,,,,,,,,,
P12,,DIFFM,IO_L21P_7,UNUSED,,7,,,,,,,,,,
P13,,DIFFS,IO_L21N_7,UNUSED,,7,,,,,,,,,,
P14,,,GND,,,,,,,,,,,,,
P15,,DIFFM,IO_L22P_7,UNUSED,,7,,,,,,,,,,
P16,,DIFFS,IO_L22N_7,UNUSED,,7,,,,,,,,,,
P17,,,VCCAUX,,,,,,,,2.5,,,,,
P18,,DIFFM,IO_L23P_7,UNUSED,,7,,,,,,,,,,
P19,,DIFFS,IO_L23N_7,UNUSED,,7,,,,,,,,,,
P20,,DIFFM,IO_L24P_7,UNUSED,,7,,,,,,,,,,
P21,,DIFFS,IO_L24N_7,UNUSED,,7,,,,,,,,,,
P22,,DIFFM,IO_L39P_7,UNUSED,,7,,,,,,,,,,
P23,,,VCCO_7,,,7,,,,,any******,,,,,
P24,,DIFFS,IO_L39N_7,UNUSED,,7,,,,,,,,,,
P25,,,GND,,,,,,,,,,,,,
P26,,DIFFM,IO_L40P_7,UNUSED,,7,,,,,,,,,,
P27,,DIFFS,IO_L40N_7/VREF_7,UNUSED,,7,,,,,,,,,,
P28,,DIFFM,IO_L40P_6/VREF_6,UNUSED,,6,,,,,,,,,,
P29,,DIFFS,IO_L40N_6,UNUSED,,6,,,,,,,,,,
P30,,,GND,,,,,,,,,,,,,
P31,,DIFFM,IO_L39P_6,UNUSED,,6,,,,,,,,,,
P32,,,VCCO_6,,,6,,,,,2.50,,,,,
P33,,DIFFS,IO_L39N_6,UNUSED,,6,,,,,,,,,,
P34,svel<1>,IOB,IO_L24P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P35,svel<0>,IOB,IO_L24N_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P36,sanima<2>,IOB,IO_L23P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P37,sanima<1>,IOB,IO_L23N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P38,,,VCCAUX,,,,,,,,2.5,,,,,
P39,sanima<0>,IOB,IO_L22P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P40,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,,
P41,,,GND,,,,,,,,,,,,,
P42,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,,
P43,,DIFFS,IO_L21N_6,UNUSED,,6,,,,,,,,,,
P44,enable,IOB,IO_L20P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P45,u_d,IOB,IO_L20N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,,NO,NONE,
P46,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,,
P47,,,GND,,,,,,,,,,,,,
P48,,DIFFS,IO_L19N_6,UNUSED,,6,,,,,,,,,,
P49,,,VCCO_6,,,6,,,,,2.50,,,,,
P50,,DIFFM,IO/VREF_6,UNUSED,,6,,,,,,,,,,
P51,,DIFFM,IO_L01P_6/VRN_6,UNUSED,,6,,,,,,,,,,
P52,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,,
P53,,,GND,,,,,,,,,,,,,
P54,,,M1,,,,,,,,,,,,,
P55,,,M0,,,,,,,,,,,,,
P56,,,M2,,,,,,,,,,,,,
P57,reset,IOB,IO_L01P_5/CS_B,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,,NO,NONE,
P58,led<7>,IOB,IO_L01N_5/RDWR_B,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P59,,,GND,,,,,,,,,,,,,
P60,,,VCCO_5,,,5,,,,,2.50,,,,,
P61,led<6>,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P62,led<5>,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
